axis,risk_node_en,risk_node_ja,feature_en,feature_ja,example_label,extraction_or_definition,value_type,notation_candidate,used_for,paper_note
Internal / Static,Attribution risk,属性リスク,Patient likelihood,患者である可能性,Patient,"Estimate whether the person is a patient from appearance or predefined role information; in the thesis prototype, VQA output was converted to a triangular fuzzy number.",Fuzzy number / membership degree,r_i300,Distinguishing patients from staff and weighting risk evaluation toward monitored patients.,Mention as an example of patient-context static features. Implementation details such as BLIP/VQA can be omitted or moved to appendix if not central.
Internal / Static,Attribution risk,属性リスク,Age group / age-related risk,年齢層・年齢に関する危険度,Age / elderly patient / middle-aged patient,"Estimate age group such as young, middle-aged, or old; in the thesis prototype, linguistic output was mapped to a triangular fuzzy number.",Fuzzy number / membership degree,r_i301,Representing patient-side vulnerability that affects the risk of the same action.,Use neutral wording such as 'older patient' or 'age-related vulnerability' rather than simply 'old patient'.
Internal / Dynamic,Action risk,動作リスク,Standing-up similarity,立ち上がり動作との類似度,Stand up,"Calculate similarity between the observed pose and predefined risky-action poses; in the thesis prototype, pose features were obtained from body keypoints.",Similarity score / risk feature,r_i31j or action feature,Detecting risky behaviors and behaviors similar to predefined dangerous actions.,This is a core patient-context dynamic feature and should remain in figures and tables.
Internal / Dynamic,Action risk,動作リスク,Other predefined risky actions,その他の事前定義した危険動作,Action n,"Calculate similarity to each predefined risky action such as face touching or reaching behavior, depending on the scenario.",Similarity score / risk feature,r_i31j,Extending the model beyond a single action such as standing up.,Keep this as a general row if the paper does not list all actions.
External / Static,Object risk,周辺物体リスク,Distance from handrail,手すりからの距離,Handrail / far from handrail,Calculate the distance between the patient position and the nearest handrail or support object.,Distance / normalized risk feature,r_i32j,Representing whether support is available in the surrounding environment.,Important for visual correspondence with problem/solution figures; keep this feature explicit.
External / Static,Object risk,周辺物体リスク,Wheelchair presence / wheelchair-related condition,車椅子の有無・車椅子に関する条件,Wheelchair,Detect or set the presence of a wheelchair near or used by the patient.,Existence probability / binary or fuzzy feature,r_i32j,Representing patient mobility context and possible fall or transfer risk.,Keep this feature explicit because it is visually recognizable and supports the spatial-context argument.
External / Static,Object risk,周辺物体リスク,IV pole or medical device presence,点滴ポール等の医療器具の有無,IV pole / medical device,Detect or set the presence of objects that can increase risk when the patient moves.,Existence probability / binary or fuzzy feature,r_i32j,Capturing hazardous surrounding objects that modify the risk of patient behavior.,Include if it appears in scenarios or questionnaire; otherwise mark as optional example.
External / Static,Object risk,周辺物体リスク,Chair / nearby support furniture,椅子・周辺支持物,Chair / cane,Calculate or set the presence and position of nearby support furniture such as a chair or cane.,Distance / existence probability,r_i32j,Representing whether the environment provides support or obstruction.,Useful for explaining why the same standing-up action can have lower risk when support is available.
External / Dynamic,Surrounding staff risk,周辺スタッフリスク,Distance to nearest staff,最も近いスタッフとの距離,Far from staff,Calculate relative distance between the patient and the nearest staff member.,Distance / normalized risk feature,r_i33j,Representing whether immediate support is available.,Core spatial-context feature; should be explicit in figures and evaluation.
External / Dynamic,Surrounding staff risk,周辺スタッフリスク,Staff attention / visibility,スタッフの視線・患者を見ているか,Staff not seeing patient,"Estimate whether the patient is likely to be within staff attention or field of view; in a simplified implementation, this can be approximated by staff direction and relative position.",Direction / visibility risk feature,r_i33j,"Representing whether the patient is actually being monitored, not only whether staff are physically nearby.",Use wording such as 'staff attention' or 'visibility' rather than only 'direction'.
External / Dynamic,Surrounding staff risk,周辺スタッフリスク,Direct assistance by staff,スタッフによる直接支援,Nurse assisting/supporting the patient,"Represent whether a staff member is directly assisting the patient during the action, based on proximity and observed support condition.",Binary / fuzzy feature,r_i33j or scenario condition,Reducing notification priority when the risky action is already supported by staff.,Useful for the problem-setting figure: standing up with support can have lower notification priority.
Aggregated risk node,Internal risk,内的リスク,Attribution risk + Action risk,属性リスクと動作リスクの統合,Internal,Aggregate patient-context factors using AHP weights and/or fuzzy rules.,Risk score,r_i10,Intermediate risk node representing patient-side risk.,This is not a raw feature but should be included to clarify the hierarchy.
Aggregated risk node,External risk,外的リスク,Object risk + Surrounding staff risk,周辺物体リスクと周辺スタッフリスクの統合,External,Aggregate spatial-context factors using AHP weights and/or fuzzy rules.,Risk score,r_i11,Intermediate risk node representing surrounding environmental risk.,This is important for explaining staff-specific emphasis on spatial context.
Aggregated risk node,Total risk,総合危険度,Internal risk + External risk,内的リスクと外的リスクの統合,Total risk,Aggregate internal and external risk to determine the final risk score and notification priority.,Risk score,r_i00,Ranking patients and triggering notifications.,This is the final output used for evaluation and notification generation.
