timestamp,entity_type,entity_id,x,y,action_label,vx,vy,object_type,events
0.0,patient,A,1.0,5.0,standing_up,,,,A: standing_up; C: standing_up
0.0,patient,B,5.0,5.0,neutral_sitting,,,,A: standing_up; C: standing_up
0.0,patient,C,1.0,1.0,standing_up,,,,A: standing_up; C: standing_up
0.0,patient,D,5.0,1.0,neutral_sitting,,,,A: standing_up; C: standing_up
0.0,staff,NS,3.0,-1.0,,0.0,1.0,,A: standing_up; C: standing_up
0.0,object,wheelchair_a,1.0,5.0,,,,wheelchair,A: standing_up; C: standing_up
0.0,object,wheelchair_b,5.0,5.0,,,,wheelchair,A: standing_up; C: standing_up
0.0,object,iv_a,1.0,5.0,,,,iv_pole,A: standing_up; C: standing_up
0.0,object,iv_b,5.0,5.0,,,,iv_pole,A: standing_up; C: standing_up
0.0,object,handrail_c,1.0,0.0,,,,handrail,A: standing_up; C: standing_up
0.0,object,handrail_d,5.0,0.0,,,,handrail,A: standing_up; C: standing_up
1.0,patient,A,1.0,5.0,standing_up,,,,
1.0,patient,B,5.0,5.0,neutral_sitting,,,,
1.0,patient,C,1.0,1.0,standing_up,,,,
1.0,patient,D,5.0,1.0,neutral_sitting,,,,
1.0,staff,NS,3.0,-1.0,,0.0,1.0,,
1.0,object,wheelchair_a,1.0,5.0,,,,wheelchair,
1.0,object,wheelchair_b,5.0,5.0,,,,wheelchair,
1.0,object,iv_a,1.0,5.0,,,,iv_pole,
1.0,object,iv_b,5.0,5.0,,,,iv_pole,
1.0,object,handrail_c,1.0,0.0,,,,handrail,
1.0,object,handrail_d,5.0,0.0,,,,handrail,
